time, altitude, axis Z angle, vertical acc, vertical vel, horizontal acc, horizontal vel
1,29956.69554,148.3,-0.203676654,-43.2026175,-1.110091512,1698.889908
2,29913.16905,147.3,0.870762877,-43.41816373,-0.815405804,1697.714786
3,29871.05718,147.3,0.870349105,-42.54703631,-0.815746322,1696.89904
4,29829.81583,148.3,-0.21840362,-41.67632235,-1.176103929,1696.082953
5,29787.81121,148.3,-0.219615951,-41.8948157,-1.176595487,1694.906358
6,29745.58627,147.3,0.868420239,-42.11452144,-0.816769585,1693.72927
7,29704.77454,147.3,0.868006385,-41.24573544,-0.817111243,1692.912159
8,29664.83097,148.3,-0.222568211,-40.37736298,-1.17807263,1692.094706
9,29624.11906,148.3,-0.223782723,-40.60002121,-1.178565836,1690.91614
10,29583.18267,147.3,0.866076125,-40.82389403,-0.818137935,1689.73708
11,29543.65805,147.3,0.865662192,-39.95745091,-0.818480739,1688.9186
12,29504.99925,148.3,-0.226740383,-39.09142142,-1.180047933,1688.099776
13,29465.56702,148.3,-0.227957083,-39.31825212,-1.180542795,1686.919233
14,29425.90613,147.3,0.86373054,-39.54629961,-0.819510878,1685.738195
15,29387.65559,147.3,0.863316529,-38.68220084,-0.819854834,1684.91834
16,29350.26852,148.3,-0.230920163,-37.81851578,-1.182029872,1684.098141
17,29312.10293,148.3,-0.23213906,-38.04952657,-1.182526397,1682.915615
18,29273.70449,147.3,0.861383486,-38.28175633,-0.820888436,1681.732591
19,29236.71497,147.3,0.860969398,-37.42000338,-0.82123355,1680.911358
20,29200.58659,148.3,-0.235107579,-36.5586642,-1.184018479,1680.089779
21,29163.67456,148.3,-0.23632868,-36.79386271,-1.184516676,1678.905262
22,29126.5255,147.3,0.859034967,-37.0302824,-0.822270634,1677.720247
23,29090.78394,147.3,0.858620805,-36.17087673,-0.822616911,1676.89763
24,29055.90116,148.3,-0.239302659,-35.3118849,-1.186013788,1676.074666
25,29020.22961,148.3,-0.240525972,-35.5512788,-1.186513667,1674.888153
26,28984.31684,147.3,0.856684986,-35.79189608,-0.823657494,1673.701139
27,28949.81014,147.3,0.856270751,-34.93483914,-0.82400494,1672.877134
28,28916.15987,148.3,-0.243505431,-34.07819611,-1.188015834,1672.052781
29,28881.71571,148.3,-0.244730964,-34.32179309,-1.188517402,1670.864264
